time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.153217196912,0.392715342972,12.0324707952,0.140410024286,0.0714087314827,0.0,-0.4389937687,1.01597439063,3.01045889188,0.0706867634195,0.0825718189964,0.0,471.3062135361866,472.22983622903524,472.5041058651607,470.8132107920157
1.3800000000000008,-0.181053490132,0.456562284338,12.2158648418,0.144318687724,0.0765519943419,0.0,-0.489376944776,1.11260520067,3.10227485796,0.0507555506049,0.0913704453092,0.0,445.4699704997925,446.1948733334956,447.92007620160757,446.2992185108988
1.4400000000000008,-0.212313748034,0.526820458863,12.4084708142,0.147146676784,0.0822885545686,0.0,-0.553255972376,1.22955702605,3.31713891081,0.0386746822169,0.10296168136,0.0,483.80117250903805,484.68003687395253,485.5692820054789,484.66324439660417
1.5000000000000009,-0.247293283445,0.603704870289,12.6109131852,0.150279974476,0.0881906028428,0.0,-0.613333129373,1.33345656988,3.43043161961,0.0707399552167,0.0870873043687,0.0,455.5279569594566,454.2646853632409,455.24436584655746,457.80452669853906
1.560000000000001,-0.286039327355,0.686955354077,12.8205667147,0.154275621847,0.0930974424567,0.0,-0.67870797304,1.44189294254,3.55742416059,0.0566535304905,0.068203632673,0.0,461.42008100332976,459.93187680711145,461.97408782458587,460.8650612919153
1.620000000000001,-0.329087926739,0.777239205468,13.0407085762,0.157424453902,0.0981665232356,0.0,-0.756741121537,1.5677976201,3.77969381323,0.042458919344,0.105462729018,0.0,489.74826665905374,492.51651399018067,490.74462472219665,489.69129680810346
1.680000000000001,-0.376688631935,0.874725284043,13.2715374002,0.160656265758,0.105076178873,0.0,-0.830618018704,1.68192092616,3.91391083961,0.0702361919166,0.129662357087,0.0,465.58421344094614,467.4846853370001,465.27637231752067,467.4477996962751
1.740000000000001,-0.428753061388,0.978932807666,13.5092078477,0.164746534384,0.113907360076,0.0,-0.905680818456,1.7919616963,4.00782413898,0.0636857100246,0.169185760141,0.0,453.63910786817206,456.82059168739676,456.02826734502884,455.5080451622055
1.8000000000000012,-0.485135706693,1.08928132332,13.7492818762,0.168905475825,0.123683571353,0.0,-0.97460043951,1.88659975195,3.99442045688,0.0786934790835,0.145967569208,0.0,423.3142847750319,421.3377652542676,420.95048923113507,422.2511852626089
1.8600000000000012,-0.546086088677,1.20572727976,13.9905876323,0.174441322709,0.13320316856,0.0,-1.05792998041,1.99531379738,4.04856875925,0.110800047079,0.176334049968,0.0,443.75604497145605,446.26506660261407,443.2277494982129,445.865616928367
1.9200000000000013,-0.612527707847,1.32918107126,14.2372606319,0.181468322925,0.14386089765,0.0,-1.15784359129,2.12035691251,4.17293377397,0.127433801327,0.180096645895,0.0,466.55467006442757,466.8771326007844,468.7543518602838,470.0566294698901
1.9800000000000013,-0.685113251088,1.4601728261,14.4907665719,0.189365373261,0.155232985423,0.0,-1.26274822441,2.24664956543,4.27633937716,0.138884125926,0.203731229246,0.0,462.92496249420964,464.8138950818065,462.85237389057244,463.7677804355605
2.0400000000000014,-0.764083097125,1.59870726589,14.7494456494,0.197475462296,0.167389576934,0.0,-1.37071161495,2.37179069664,4.34544564619,0.126458796648,0.200271309571,0.0,454.4746263018965,454.2364676524492,455.804692805486,454.826791284069
2.1000000000000014,-0.849256771958,1.74429299513,15.0092301587,0.205764991302,0.179769891811,0.0,-1.46942700731,2.48162491133,4.31363043386,0.154829940338,0.21631063215,0.0,422.8196166542666,424.243168492498,422.0936059836379,424.5534429785243
2.1600000000000015,-0.941160449627,1.89725698975,15.2701869167,0.215101212826,0.192667278829,0.0,-1.59521574639,2.61786381395,4.38392380484,0.157106061221,0.21210586143,0.0,458.18529444460125,457.8949553175315,458.14730933894987,458.35036086738785
2.2200000000000015,-1.04084475893,2.0585298177,15.5351350864,0.224969874164,0.205645158713,0.0,-1.72875274519,2.75859364173,4.44664050839,0.176173790562,0.223572557484,0.0,458.00695753425225,458.96261999908893,456.59775798911005,458.14126598108015
2.2800000000000016,-1.14917363385,2.2288132247,15.8054523237,0.23536889662,0.219023743066,0.0,-1.88345806866,2.91828444395,4.56249484007,0.166895025211,0.221758981207,0.0,477.2174388507518,477.124516161177,477.0460621556453,476.3635140232339
2.3400000000000016,-1.26740262288,2.40921017122,16.0840168089,0.245511042932,0.231964261678,0.0,-2.05874596659,3.0956388838,4.72122718583,0.173000861987,0.199350534117,0.0,494.4041556163024,492.79056300234316,492.1699888090183,492.64602652329637
2.4000000000000017,-1.3950795688,2.5990471695,16.3664374868,0.255780687613,0.24359124688,0.0,-2.19810334822,3.23291508517,4.69204873923,0.167206235205,0.179329584908,0.0,436.733832095431,435.0974971848367,437.6625413770057,437.2085029389042
2.4600000000000017,-1.5314615258,2.79741123136,16.6475695602,0.265396141359,0.254217358502,0.0,-2.34881711282,3.3798183286,4.67816846261,0.14039216333,0.172233862123,0.0,443.55476726942413,443.0018398874246,444.9628833362385,442.78579956635286
2.520000000000002,-1.67653151636,3.00416983293,16.9257646816,0.273705831335,0.264817641279,0.0,-2.48766529376,3.51259503368,4.59455939397,0.134406135527,0.184317651418,0.0,420.69215648896744,421.7691740660392,421.5755247722681,421.0767879841519
2.580000000000002,-1.83244908057,3.22131893193,17.2071179539,0.282069471694,0.275576174927,0.0,-2.71048337169,3.72602730689,4.78175936769,0.147852793633,0.16673158548,0.0,510.7039232591938,509.47412740815105,509.8609844816372,510.836079771591
2.640000000000002,-2.00159804507,3.45103986349,17.4982348669,0.29058134801,0.28557132724,0.0,-2.92855962731,3.93168434232,4.9201969187,0.125882732986,0.166293248819,0.0,499.98990054421967,499.98110145461766,500.5856181468272,499.00007017651365
2.700000000000002,-2.18327773739,3.69247343435,17.7949925855,0.298173283227,0.295475409294,0.0,-3.1281542657,4.11633308289,4.970302051,0.1277993663,0.162501251183,0.0,477.4353532119805,477.1698322660242,475.15902958438,475.3194176740166
2.760000000000002,-2.37598729491,3.94398211497,18.0910695839,0.306056732468,0.304889428822,0.0,-3.2962137322,4.26760087842,4.89824378115,0.137742678482,0.142322852228,0.0,439.2283444767436,437.57464897524693,438.0023296047749,438.8447287176473
2.820000000000002,-2.57958312758,4.20526789876,18.3846851469,0.314370309245,0.312935268438,0.0,-3.49088621584,4.44221033237,4.88780884284,0.140143620126,0.107656198339,0.0,462.54240492928864,459.818674137354,461.1443258000258,461.3510144292309
2.880000000000002,-2.79477877952,4.47691349708,18.6769135392,0.323030222753,0.319268620584,0.0,-3.68271808261,4.6129566413,4.85217254201,0.15160471202,0.100988481084,0.0,454.64426701984206,454.11904958721243,455.5372965712609,456.47184914233225
2.940000000000002,-3.021152509,4.75847223104,18.9656265365,0.3320294263,0.325097355028,0.0,-3.86349408144,4.77269833725,4.77088205531,0.1465413028,0.0880772018394,0.0,442.9341801194781,441.8788503546518,440.92249127970524,440.5252128371807
3.000000000000002,-3.25726737024,5.04853685694,19.2460032926,0.340911764897,0.330109436376,0.0,-4.00751885549,4.89655218726,4.57507056331,0.150874305236,0.0724112973605,0.0,401.0138139784407,399.5942316825664,400.6543778301677,401.07140060316533
3.0600000000000023,-3.50319391991,5.34716396851,19.5175702849,0.349781242147,0.33539136116,0.0,-4.19039366627,5.05800931925,4.47652360521,0.14090519199,0.108440343581,0.0,435.9619926690855,438.96894321088195,437.2196018030817,436.4088643309452
3.1200000000000023,-3.76016466418,5.65552560655,19.7830588905,0.358198432882,0.342775260038,0.0,-4.37580321864,5.22094338436,4.37239969701,0.139021024765,0.142579611145,0.0,435.2286405700422,438.09069476905336,436.92748172536443,436.7889897927545
3.1800000000000024,-4.028515965,5.97384672781,20.0425286346,0.366402214348,0.352489250649,0.0,-4.56987509608,5.38990330055,4.27571522701,0.131706682067,0.185296783206,0.0,439.5345234550462,443.0851189945945,441.55314081446215,440.9665624564859
3.2400000000000024,-4.30846949083,6.30215150406,20.2955578991,0.374090813285,0.363495424327,0.0,-4.76266357706,5.5536600778,4.15776555841,0.119854178666,0.179434793069,0.0,436.0596280633068,435.60282738421677,436.1582177551804,435.18220152713417
3.3000000000000025,-4.60044341971,6.64058021147,20.5420793641,0.381380709895,0.374000243266,0.0,-4.97049916793,5.72725847327,4.05862890795,0.124595972298,0.164536146221,0.0,445.01605915564926,443.82384599371994,444.7887022990523,445.1902789161121
3.3600000000000025,-4.90582976945,6.99017999561,20.7843483396,0.388859554249,0.383490143315,0.0,-5.2095923661,5.92591719083,4.01555642323,0.124749971699,0.14071438823,0.0,468.16945962412416,466.3337635061823,467.03605106972884,467.06135311711404
3.4200000000000026,-5.22543322952,7.35145109568,21.0232163397,0.396528413016,0.392624509505,0.0,-5.44434634281,6.11632022168,3.94542506668,0.133324366919,0.168727064314,0.0,459.7155393359694,461.950806645144,460.7662106831468,461.4579852881793
